
OrderID,OrderDate,CustomerName,Product,Category,Quantity,UnitPrice,TotalAmount,Country
1001,2024-01-05,John Smith,Laptop,Electronics,1,850,850,USA
1002,2024-01-06,Sarah Lee,Headphones,Electronics,2,50,100,Canada
1003,2024-01-07,David Kim,Office Chair,Furniture,1,120,120,USA
1004,2024-01-08,Emma Davis,Notebook,Stationery,5,3,15,UK
1005,2024-01-09,Michael Brown,Smartphone,Electronics,1,600,600,Australia
1006,2024-01-10,Olivia Wilson,Desk,Furniture,1,200,200,USA
1007,2024-01-11,James Miller,Pen,Stationery,10,1,10,Canada
1008,2024-01-12,Sophia Taylor,Tablet,Electronics,1,300,300,UK
1009,2024-01-13,Daniel Anderson,Monitor,Electronics,2,150,300,USA
1010,2024-01-14,Ava Thomas,Bookshelf,Furniture,1,180,180,Australia
